,Topic,Name,slope,topic_fullname
0,2,2_health_alcohol_tb_covid19,5.314533605174837e-08,health_alcohol_tb_covid19_countries_2020_virus_global_pda1_disease
1,-1,-1_on_with_to_are,5.0844080253719476e-08,on_with_to_are_by_be_has_at_their_development
2,9,9_ai_nuclear_cyber_systems,4.671888987261927e-08,ai_nuclear_cyber_systems_data_technology_intelligence_information_security_cybersecurity
3,16,16_corruption_transparency_anticorruptio...,3.1588340329110516e-08,corruption_transparency_anticorruption_data_international_public_government_illicit_acc_honduras
4,3,3_is_security_has_us,2.891777018677564e-08,is_security_has_us_government_are_political_forces_afghan_iraq
5,0,0_energy_climate_in_development,2.292281981331722e-08,energy_climate_in_development_change_emissions_sustainable_environmental_population_index
6,21,21_brazil_health_global_amazon,1.542062705780936e-08,brazil_health_global_amazon_countries_region_latin_united_states_economic
7,22,22_programs_tech_program_york,1.194517069320797e-08,programs_tech_program_york_businesses_workforce_students_citys_training_jobs
8,4,4_roma_social_muslim_eu,9.115769515777107e-09,roma_social_muslim_eu_their_migration_muslims_be_were_programme
9,6,6_us_states_nuclear_united,8.051929881787229e-09,us_states_nuclear_united_security_space_military_has_defense_at
10,10,10_health_services_hospitals_medical,7.642340403686186e-09,health_services_hospitals_medical_system_government_moh_hospital_facilities_healthcare
11,23,23_africa_african_south_mozambique,7.096577437411344e-09,africa_african_south_mozambique_africas_economic_political_development_anc_policy
12,17,17_china_us_economic_chinese,6.544545648327997e-09,china_us_economic_chinese_chinas_military_asia_taiwan_countries_cooperation
13,18,18_sars_muslim_be_with,6.4488307162652165e-09,sars_muslim_be_with_muslims_education_their_medical_training_health
14,15,15_eu_european_europe_russia,6.3416777113499136e-09,eu_european_europe_russia_security_cooperation_russian_arctic_nato_political
15,19,19_tax_property_valuation_value,4.5746028848572715e-09,tax_property_valuation_value_taxpayer_government_taxes_inheritance_5g_land
16,8,8_pharmaceutical_drugs_patent_drug,4.495494360711109e-09,pharmaceutical_drugs_patent_drug_medicines_trips_health_canada_products_bangladesh
17,7,7_black_women_percent_health,3.597650111520539e-09,black_women_percent_health_care_medicaid_states_coverage_insurance_medicare
18,25,25_chinese_china_tibetan_dalai,3.2880625448744828e-09,chinese_china_tibetan_dalai_chinas_tibet_hong_lama_foreign_beijing
19,13,13_urban_rural_transport_development,2.2380929847126817e-09,urban_rural_transport_development_land_china_cities_city_areas_transportation
20,12,12_medicine_medical_journal_ethics,2.135359828071122e-09,medicine_medical_journal_ethics_patients_bioethics_folklore_health_research_clinical
21,1,1_women_her_she_we,6.973666369765663e-10,women_her_she_we_with_at_my_womens_be_our
22,14,14_veterans_va_military_health,5.568943496816352e-10,veterans_va_military_health_trauma_mental_medical_services_dod_service
23,20,20_education_learning_research_dual,5.021993137208767e-10,education_learning_research_dual_university_universities_study_science_students_programs
24,24,24_media_australian_crime_asylum,4.1849947576732597e-10,media_australian_crime_asylum_2012_2011_university_social_participatory_australia
25,5,5_de_la_el_los,-2.4016245783576953e-09,de_la_el_los_denver_por_las_colorado_una_nueva
26,11,11_health_data_healthcare_information,-5.86544662418966e-09,health_data_healthcare_information_diffusion_anc_reuse_digital_expenditures_meps
